sku,name,reviewStars,reviewCount,status,price,discount,url
CFTP124,Comfort Pointe Collins Saddle Seat Counter Stool,5,2,IN_STOCK,189,0,https://www.hayneedle.com/product/comfortpointecollinssaddleseatcounterstool.cfm
CFTP156,Comfort Pointe Carteret 24 in. Nailhead Leather Counter Stool,3.5,2,IN_STOCK,211,0,https://www.hayneedle.com/product/comfortpointecarteret24innailheadleathercounterstool.cfm
HME3613,Weston Home Ashby Saddle Seat Backless 24 in. Counter Stools - Set of 2,2.8,4,IN_STOCK,108.99,0,https://www.hayneedle.com/product/westonhomeashbysaddleseatbackless24incounterstoolssetof2.cfm
LUS982,LumiSource Saddle 25.75 in. Mid-Century Modern Counter Stool - Set of 2,4.9,7,IN_STOCK,300,0,https://www.hayneedle.com/product/lumisourcesaddle2575inmidcenturymoderncounterstoolsetof2.cfm
HME3276,Chelsea Lane Acrylic 28 in. Bar Stool - Set of 2,5,1,IN_STOCK,406.97,0,https://www.hayneedle.com/product/chelsealaneacrylicadjustablebarstoolsetof2.cfm
CTY2235,Chintaly Adjustable Height Black Vintage Stool,,,IN_STOCK,442,0,https://www.hayneedle.com/product/chintalyadjustableheightblackvintagestool.cfm
LUS878,LumiSource Curvo Mid-Century Modern Adjustable Bar Stool,,,IN_STOCK,181.5,18,https://www.hayneedle.com/product/lumisourcecurvomidcenturymodernadjustablebarstool.cfm
LUS636,LumiSource Tintori Adjustable Bar Stool,,,IN_STOCK,113,6,https://www.hayneedle.com/product/lumisource-tintori-adjustable-bar-stool.cfm
LUS888,LumiSource Maya Mid-Century Modern Adjustable Bar Stool,5,1,IN_STOCK,145,0,https://www.hayneedle.com/product/lumisourcemayamidcenturymodernadjustablebarstool.cfm
LUS650,LumiSource Viva Bent Wood Adjustable Bar Stool - White,5,2,IN_STOCK,304,5,https://www.hayneedle.com/product/lumisource-viva-bent-wood-adjustable-bar-stool.cfm
FOXH252,Fox Hill Trading 24 in. Counter Stool - Set of 2,4,4,IN_STOCK,415.34,8,https://www.hayneedle.com/product/foxhilltrading33incounterstoolsetof2.cfm
